age,gender,study_hours,attendance,prev_grade,parent_education,internet_access,extra_classes,sleep_hours,stress_level,assignments_done,library_visits,sports,part_time_job,final_grade,pass_fail,grade_category
18,Female,1.1,77.2,96,Master,0,1,4.6,High,1,13,1,1,61.2,1,C
15,Female,4.5,51.2,90,Master,1,1,8.7,High,2,8,0,0,76.0,1,B
18,Male,4.6,41.5,74,None,0,0,6.2,High,13,7,0,1,44.3,1,D
20,Male,8.6,57.1,76,Bachelor,1,0,4.2,Medium,14,9,0,0,82.2,1,A
16,Female,5.5,66.6,60,High School,1,0,6.2,Low,12,14,0,1,75.3,1,B
16,Male,3.8,77.0,97,Bachelor,1,0,7.7,High,8,1,0,0,69.3,1,B
15,Female,9.8,91.0,57,High School,1,0,4.7,High,1,5,0,0,71.0,1,B
16,Female,1.1,51.8,72,High School,1,0,9.5,Medium,18,2,1,0,69.5,1,B
19,Male,4.2,47.5,47,None,0,0,4.5,Low,15,2,1,0,57.6,1,C
16,Female,0.4,97.8,90,Bachelor,0,1,9.6,High,10,4,0,0,64.3,1,C
18,Male,7.4,46.5,88,High School,1,0,8.2,Medium,11,6,0,1,75.5,1,B
18,Male,9.2,68.7,56,Master,1,1,6.0,High,0,6,0,0,77.3,1,B
21,Male,2.8,75.1,82,High School,1,0,6.3,Medium,1,10,1,0,73.2,1,B
18,Male,8.6,72.5,70,Master,1,1,8.4,Low,15,9,0,0,100.0,1,A
21,Female,2.9,45.2,73,Master,1,1,7.6,Medium,1,0,0,0,61.2,1,C
18,Male,9.1,43.4,45,Bachelor,1,0,8.0,High,18,10,0,1,78.1,1,B
19,Female,7.5,46.3,61,Master,0,0,6.3,High,9,6,1,0,65.6,1,B
21,Female,8.0,75.1,53,High School,1,0,6.9,Medium,18,6,0,0,90.8,1,A
17,Female,0.2,72.7,42,Master,1,0,9.9,Low,9,5,1,0,62.1,1,C
20,Female,9.6,54.0,51,Bachelor,1,1,5.3,Low,15,5,1,0,97.2,1,A
15,Male,7.3,78.3,75,None,1,1,6.5,High,12,12,0,0,91.4,1,A
18,Male,3.0,89.2,51,High School,1,0,5.8,High,15,12,0,0,72.6,1,B
16,Female,8.3,42.5,84,High School,1,0,8.6,Medium,17,1,0,1,85.8,1,A
18,Female,2.8,69.9,41,Bachelor,1,0,8.6,Medium,7,2,0,1,57.0,1,C
16,Male,8.7,81.4,41,Bachelor,0,0,5.8,Medium,17,2,0,1,70.1,1,B
20,Female,1.1,55.1,54,Bachelor,0,1,4.5,Low,12,12,0,1,50.7,1,C
20,Male,7.0,58.5,62,Bachelor,1,0,4.1,Low,6,2,1,0,72.7,1,B
20,Female,5.4,76.8,68,High School,1,1,6.6,High,17,1,0,0,81.8,1,A
16,Male,1.0,93.9,56,None,1,0,6.5,High,5,8,0,1,47.6,1,D
18,Female,2.4,88.6,71,Master,0,0,9.9,High,8,5,0,1,53.2,1,C
20,Female,0.1,75.0,46,Master,0,1,6.8,Medium,5,1,0,0,41.7,1,D
19,Male,4.7,83.8,69,None,1,0,5.5,Low,17,2,0,0,81.8,1,A
21,Female,3.0,61.9,67,None,1,1,9.3,High,16,9,0,0,70.0,1,B
16,Female,6.0,78.5,53,None,1,1,6.9,High,11,5,0,0,78.1,1,B
16,Male,3.0,68.0,83,Bachelor,1,0,7.6,High,2,3,1,0,52.3,1,C
18,Female,3.0,51.4,69,High School,0,0,4.6,High,4,6,0,1,24.9,0,F
16,Male,7.4,82.1,56,High School,1,1,6.3,High,6,5,1,0,69.4,1,B
16,Male,0.5,73.4,71,High School,1,1,9.7,High,9,14,0,0,74.6,1,B
20,Female,9.0,61.5,85,Bachelor,1,1,7.5,Low,9,5,1,0,100.0,1,A
18,Female,8.5,94.7,45,High School,1,0,6.1,High,18,11,0,0,87.1,1,A
20,Female,6.7,41.3,90,Bachelor,1,1,7.8,Low,3,2,1,0,70.2,1,B
21,Female,5.9,58.9,63,High School,0,0,9.5,Medium,9,10,0,1,62.9,1,C
21,Female,8.9,43.4,45,None,1,1,5.6,Low,17,7,0,1,83.7,1,A
20,Female,1.9,86.0,66,Master,0,1,7.0,Medium,2,8,0,1,60.0,1,C
21,Female,0.8,82.1,57,Master,1,0,9.8,Low,2,5,0,0,60.1,1,C
18,Male,2.4,59.9,63,Bachelor,1,1,5.0,Low,4,1,0,0,61.8,1,C
15,Female,7.9,80.5,76,High School,1,0,8.3,High,15,0,1,1,79.7,1,B
20,Male,0.3,63.8,95,Master,1,1,7.7,Low,19,2,0,0,83.1,1,A
19,Female,5.8,85.4,63,None,1,0,8.1,Low,12,2,1,1,84.5,1,A
19,Female,10.0,67.3,77,None,0,1,6.1,High,10,7,0,1,80.2,1,A
16,Male,8.6,64.7,73,None,1,0,5.9,Medium,12,4,0,0,75.1,1,B
21,Female,5.2,96.1,79,Bachelor,1,1,8.1,High,18,0,0,0,100.0,1,A
19,Female,0.6,55.1,86,Bachelor,1,1,5.3,High,5,10,0,0,54.5,1,C
16,Male,8.3,47.2,54,High School,1,0,6.5,High,12,3,0,0,68.1,1,B
15,Female,6.0,75.1,50,None,1,0,5.1,Medium,3,6,1,0,60.7,1,C
18,Female,1.1,98.2,61,High School,1,1,4.0,Low,4,4,0,1,53.6,1,C
18,Female,0.9,62.7,93,High School,1,0,9.8,Low,18,9,1,1,81.0,1,A
18,Male,9.1,43.7,63,None,0,1,6.6,High,4,14,1,0,65.4,1,B
19,Female,6.7,60.4,40,High School,1,0,9.8,High,13,12,0,0,60.7,1,C
15,Female,8.3,70.4,57,Master,1,1,4.8,Low,3,5,1,0,85.5,1,A
19,Female,8.8,49.7,83,Bachelor,1,0,7.5,Low,11,13,0,0,96.7,1,A
21,Female,5.7,79.5,51,High School,0,0,5.2,Low,5,9,0,0,73.2,1,B
19,Male,5.2,99.9,96,None,1,0,8.7,Medium,18,3,0,0,96.9,1,A
15,Male,4.3,67.1,82,Bachelor,0,0,8.7,Medium,9,1,0,0,72.5,1,B
15,Female,3.2,61.3,67,Bachelor,1,0,4.7,High,0,8,1,0,37.2,0,F
21,Female,4.3,64.0,79,High School,1,0,9.5,Medium,15,14,1,0,96.9,1,A
15,Male,7.7,46.9,99,Master,1,1,5.2,High,3,1,0,0,66.3,1,B
15,Male,6.0,93.0,46,High School,1,1,7.7,Low,8,1,0,0,83.7,1,A
18,Female,8.9,64.9,62,Master,1,1,9.9,Low,17,12,0,0,100.0,1,A
21,Male,4.4,63.2,60,Bachelor,1,0,9.3,High,16,11,1,0,81.5,1,A
17,Female,6.1,79.6,73,High School,1,1,9.7,Low,14,1,0,1,86.4,1,A
17,Male,6.3,66.5,50,None,1,0,6.1,High,18,0,0,1,60.4,1,C
15,Male,5.9,78.9,61,High School,1,1,4.6,High,6,12,1,0,73.1,1,B
17,Male,7.0,43.7,81,Master,1,0,5.1,High,17,11,0,0,88.5,1,A
17,Male,2.4,88.8,74,Master,1,0,7.0,Medium,5,11,1,0,73.5,1,B
15,Female,5.1,96.4,91,High School,1,0,8.8,High,18,2,0,0,80.0,1,A
17,Male,1.0,78.9,68,Master,1,1,4.9,High,11,5,1,1,69.1,1,B
19,Male,3.8,97.3,81,Bachelor,1,0,8.0,High,2,6,0,0,74.2,1,B
16,Female,4.9,49.1,67,High School,1,1,5.9,Medium,0,0,0,0,47.0,1,D
21,Male,6.5,68.6,98,Master,0,0,6.0,Low,4,13,1,0,91.6,1,A
16,Male,9.5,76.1,57,High School,1,1,8.0,Medium,0,4,1,1,80.0,1,A
15,Female,6.0,74.9,53,High School,1,1,6.8,High,7,4,1,1,57.7,1,C
18,Male,7.4,64.1,57,None,1,0,8.9,Medium,6,0,0,0,67.0,1,B
21,Female,5.1,60.3,67,High School,1,0,4.9,Low,14,3,1,1,68.4,1,B
15,Female,6.3,47.6,63,None,0,1,8.7,Low,10,9,0,0,79.9,1,B
18,Female,0.7,63.5,47,Master,1,1,4.4,High,17,0,0,0,47.5,1,D
16,Female,2.5,49.8,81,None,1,0,5.2,Low,13,12,0,0,62.3,1,C
15,Male,3.6,84.1,93,None,1,1,7.9,Medium,8,13,1,0,92.3,1,A
21,Female,4.7,52.5,84,None,0,1,9.1,Medium,4,14,1,0,71.7,1,B
21,Male,0.5,43.5,92,Bachelor,1,0,5.5,Low,3,0,0,1,43.0,1,D
20,Male,1.4,73.1,47,None,1,1,6.0,High,11,11,0,1,58.5,1,C
19,Male,2.8,75.7,43,High School,0,0,7.2,High,0,14,0,0,39.6,0,F
17,Male,9.7,92.3,66,None,1,0,5.3,Medium,12,6,0,0,96.5,1,A
18,Male,3.3,74.6,75,High School,1,1,8.9,Low,0,6,0,0,68.5,1,B
20,Male,4.8,60.7,44,None,1,0,8.6,Medium,2,2,1,0,51.0,1,C
17,Male,2.0,88.2,72,Bachelor,0,0,4.9,Medium,7,6,1,1,65.4,1,B
17,Male,6.1,72.4,88,Master,0,1,6.8,Medium,17,2,1,0,100.0,1,A
15,Male,2.8,44.8,73,None,1,1,8.6,High,15,1,0,0,61.9,1,C
17,Male,2.1,74.0,69,None,0,1,6.0,Low,19,9,0,0,81.9,1,A
19,Female,5.2,94.5,47,Bachelor,1,1,7.8,Low,19,14,0,0,100.0,1,A
21,Female,0.1,63.8,78,None,1,1,4.3,High,15,3,1,0,49.3,1,D
20,Female,0.1,57.8,86,High School,1,0,7.7,Medium,1,13,0,1,45.3,1,D
17,Male,2.2,48.6,65,None,1,0,4.9,Medium,16,9,1,1,56.9,1,C
15,Female,0.4,49.1,96,None,1,1,9.0,High,9,2,1,0,57.1,1,C
19,Female,1.1,66.0,76,Master,1,0,6.1,Low,6,11,0,1,62.9,1,C
16,Female,3.4,75.7,73,Master,1,1,5.7,High,9,6,0,1,61.4,1,C
21,Male,8.0,44.8,46,None,0,1,9.0,Low,18,11,1,0,87.6,1,A
21,Male,5.7,96.4,79,Bachelor,0,0,4.3,Low,19,11,1,0,98.8,1,A
20,Male,5.1,85.3,67,Master,1,1,6.4,Low,8,0,0,0,87.4,1,A
21,Male,2.9,75.2,78,None,1,1,6.2,Medium,16,5,0,0,87.5,1,A
17,Female,9.3,89.7,78,Master,1,0,5.7,Medium,8,14,0,0,98.3,1,A
15,Female,4.0,44.8,67,None,1,1,9.5,High,8,13,1,0,67.2,1,B
21,Female,0.9,68.6,53,Master,1,0,8.5,High,4,1,0,0,42.2,1,D
21,Female,6.2,77.8,92,Master,0,0,4.4,Medium,6,7,0,0,82.9,1,A
16,Male,1.1,89.7,89,High School,1,1,8.3,High,10,13,0,0,82.9,1,A
16,Male,3.5,87.0,77,None,1,1,7.2,Medium,7,4,1,0,74.3,1,B
18,Male,5.1,56.6,43,None,1,1,9.4,Medium,13,2,0,0,81.2,1,A
19,Female,8.7,96.5,81,None,1,1,5.9,Low,1,9,1,0,100.0,1,A
17,Male,4.9,47.5,57,None,0,1,7.4,Low,9,6,0,0,67.3,1,B
21,Male,7.0,92.5,83,Master,1,0,7.0,Medium,15,13,0,0,100.0,1,A
21,Female,9.9,98.3,87,High School,1,1,6.9,Low,15,10,0,1,100.0,1,A
15,Female,1.3,50.6,64,High School,1,1,6.7,Medium,18,14,0,0,68.7,1,B
18,Male,2.7,83.3,46,Bachelor,1,0,5.2,Low,10,14,1,0,73.1,1,B
19,Male,3.9,42.4,77,None,1,0,8.5,High,5,1,0,0,45.4,1,D
18,Male,4.2,64.3,67,Bachelor,1,1,6.7,High,5,4,0,0,62.6,1,C
20,Male,4.1,71.0,44,Master,1,1,9.8,Medium,6,10,0,0,85.9,1,A
19,Male,9.1,74.8,42,Bachelor,0,1,5.6,Medium,15,7,1,0,95.3,1,A
21,Male,7.1,96.2,83,None,1,1,8.1,Low,12,12,0,1,100.0,1,A
21,Female,6.1,80.3,70,High School,0,1,9.6,Low,2,10,0,0,88.6,1,A
19,Female,3.1,68.9,86,High School,1,1,8.0,Medium,8,0,0,0,76.6,1,B
21,Female,8.2,88.6,81,None,1,1,9.2,High,2,14,1,1,94.3,1,A
17,Male,9.6,97.0,97,Master,1,0,9.0,High,5,0,0,0,87.6,1,A
19,Female,8.2,41.3,59,None,1,1,6.2,Medium,16,2,1,0,82.4,1,A
18,Male,0.0,99.0,58,Master,1,1,7.6,High,2,2,0,0,49.0,1,D
19,Male,6.4,45.2,87,High School,1,1,4.9,Medium,1,12,0,1,60.5,1,C
21,Female,0.5,88.9,99,Master,1,1,7.2,Low,11,6,0,1,93.0,1,A
17,Male,2.6,56.8,50,None,1,0,5.4,High,5,5,0,0,27.4,0,F
17,Male,0.6,47.9,79,None,1,0,8.5,High,9,6,1,0,40.9,1,D
20,Female,6.0,66.4,42,None,1,0,7.2,Low,10,3,0,1,64.5,1,C
18,Female,6.9,78.6,62,Master,1,0,6.5,Low,15,10,0,0,98.8,1,A
16,Female,1.1,62.9,46,Master,1,0,5.6,High,15,1,1,1,43.8,1,D
16,Male,3.8,43.3,62,Master,1,1,10.0,High,17,1,0,0,77.2,1,B
19,Female,4.6,76.0,46,High School,1,0,4.4,Medium,8,9,0,1,61.0,1,C
20,Female,3.7,94.1,85,Bachelor,0,0,4.3,Medium,18,0,1,1,70.9,1,B
15,Male,1.2,63.0,73,Bachelor,1,1,5.3,High,1,13,0,0,55.6,1,C
19,Female,4.2,53.0,81,None,1,1,9.8,Medium,0,12,1,0,71.7,1,B
20,Female,7.5,66.6,58,High School,1,0,9.9,Low,15,13,0,0,97.5,1,A
18,Female,0.7,42.9,97,Master,1,1,7.9,Medium,17,8,0,0,70.2,1,B
18,Male,0.8,89.2,48,None,1,1,9.3,Medium,2,13,0,0,68.2,1,B
18,Male,3.5,89.6,87,High School,1,0,5.3,High,0,13,1,0,59.1,1,C
18,Male,9.4,75.3,90,None,1,0,9.8,Medium,5,6,0,0,95.5,1,A
18,Male,6.7,61.2,57,High School,0,1,4.9,High,18,9,0,0,71.2,1,B
20,Female,6.8,88.0,80,High School,0,1,4.6,High,18,2,1,1,88.8,1,A
20,Male,3.6,73.3,87,Bachelor,1,1,4.7,High,10,1,0,0,62.3,1,C
17,Male,5.9,89.6,84,None,1,0,7.4,Low,7,13,1,1,83.7,1,A
16,Female,0.1,77.9,81,Master,1,0,8.7,Medium,4,2,0,0,57.5,1,C
21,Female,6.4,87.1,64,Bachelor,0,1,6.2,Medium,19,6,0,0,100.0,1,A
18,Female,9.1,75.9,91,Bachelor,1,0,9.9,Medium,8,4,0,0,92.6,1,A
15,Male,6.1,64.8,53,Master,1,0,6.6,High,14,11,0,0,76.8,1,B
21,Male,8.7,97.5,83,High School,1,1,4.9,Low,13,2,1,0,100.0,1,A
20,Male,7.2,72.5,64,Master,0,0,6.8,High,3,8,1,0,61.8,1,C
15,Female,1.2,76.3,58,None,0,1,8.1,Medium,7,1,1,1,55.3,1,C
15,Female,9.0,53.2,78,Master,1,1,9.0,High,19,6,1,0,100.0,1,A
15,Male,0.7,77.5,94,High School,0,0,6.8,High,16,14,0,1,64.1,1,C
17,Female,5.3,74.3,54,Master,1,1,7.6,Medium,1,9,1,0,78.5,1,B
20,Female,1.4,51.1,55,High School,1,0,5.6,High,19,5,1,0,42.6,1,D
15,Female,0.1,43.6,66,High School,0,1,7.9,High,15,5,0,0,47.8,1,D
18,Male,4.2,76.3,79,None,0,0,9.9,Low,9,13,0,1,76.4,1,B
19,Female,3.0,85.8,49,Master,1,0,4.3,High,1,6,1,0,51.3,1,C
15,Female,4.9,71.4,43,Master,0,1,9.3,Low,10,5,0,1,84.9,1,A
17,Male,5.8,53.6,90,None,1,0,7.4,Medium,9,1,1,0,71.3,1,B
21,Male,0.4,80.0,58,High School,1,1,5.5,Low,18,10,0,0,80.0,1,A
20,Female,1.2,44.8,67,Master,1,0,9.7,High,13,4,0,0,57.5,1,C
17,Female,5.6,66.5,60,None,1,0,6.9,Medium,10,2,0,0,66.6,1,B
15,Male,3.4,49.8,98,High School,0,1,6.0,High,8,8,0,0,59.6,1,C
20,Male,7.3,51.1,86,None,1,0,5.1,High,6,7,0,0,62.6,1,C
19,Female,6.5,52.1,53,Master,1,0,5.5,Low,14,9,0,0,74.1,1,B
15,Female,8.5,63.2,72,None,1,1,9.0,High,19,10,0,0,100.0,1,A
17,Female,6.9,43.1,87,Bachelor,1,1,7.7,Low,16,1,1,0,98.1,1,A
16,Female,4.3,63.9,49,High School,1,1,9.5,Medium,2,14,0,0,66.6,1,B
18,Male,6.7,70.7,58,Bachelor,1,1,5.4,Medium,14,0,1,0,78.7,1,B
21,Female,2.8,69.0,69,Bachelor,0,0,4.7,High,13,14,0,0,60.7,1,C
17,Female,3.1,63.0,61,High School,1,1,4.0,Low,7,3,1,1,62.4,1,C
20,Male,7.9,90.3,42,High School,1,0,7.0,High,3,3,1,1,57.1,1,C
15,Female,4.5,48.7,76,None,1,1,10.0,High,9,11,0,0,73.6,1,B
18,Male,8.0,70.3,80,High School,0,0,8.2,High,1,9,1,0,75.8,1,B
15,Female,8.2,43.7,57,Bachelor,1,1,5.9,High,13,10,0,0,76.6,1,B
20,Female,8.6,44.3,50,Bachelor,1,1,9.3,Low,7,1,0,1,78.8,1,B
15,Male,9.2,74.4,87,Master,0,1,8.7,High,9,6,1,1,89.7,1,A
16,Male,4.3,74.0,41,High School,1,1,4.1,Medium,17,12,0,0,76.3,1,B
18,Female,3.2,92.7,51,Bachelor,1,1,8.9,Low,14,14,0,1,93.3,1,A
18,Female,5.8,73.5,93,Master,1,1,5.8,High,4,2,0,0,70.8,1,B
20,Female,3.7,97.6,45,Master,0,0,4.9,Low,12,6,1,0,79.2,1,B
21,Male,6.0,42.9,82,None,1,0,5.4,High,17,6,1,1,66.0,1,B
16,Female,7.1,45.9,98,Bachelor,1,0,6.8,Medium,1,0,0,1,58.3,1,C
17,Male,6.9,42.6,79,None,1,0,6.5,Medium,12,5,1,1,66.0,1,B
15,Male,3.7,51.1,83,Bachelor,1,1,5.7,Medium,13,3,1,0,79.6,1,B
19,Female,1.7,72.5,68,None,1,1,5.0,Low,9,10,1,0,68.2,1,B
15,Male,4.3,78.7,98,None,1,1,8.6,Medium,3,7,0,1,78.7,1,B
15,Female,1.4,42.7,69,High School,1,1,9.9,High,14,7,1,0,57.0,1,C
17,Female,8.9,96.8,41,None,1,1,8.7,High,7,2,1,0,84.2,1,A
15,Female,3.5,90.5,48,High School,1,0,5.8,High,14,3,0,0,52.5,1,C
16,Female,1.5,57.8,86,Master,1,0,5.5,Low,13,14,1,1,79.4,1,B
16,Female,0.3,44.6,41,Bachelor,1,0,5.3,Low,8,0,0,1,32.9,0,F
18,Male,6.5,50.2,68,Master,1,0,4.8,Medium,19,9,0,0,79.2,1,B
20,Male,6.4,47.6,72,Bachelor,1,1,7.3,Low,2,1,1,1,71.6,1,B
21,Female,3.4,47.4,49,Master,0,1,7.6,High,14,6,1,0,53.0,1,C
19,Female,0.7,71.1,73,Bachelor,1,1,8.2,High,16,14,0,0,82.3,1,A
15,Male,4.1,54.8,83,None,1,1,8.1,High,15,13,0,0,77.1,1,B
15,Male,3.1,61.5,94,Bachelor,1,1,5.8,Low,3,10,1,0,84.3,1,A
17,Male,6.8,99.4,47,Bachelor,0,0,6.0,High,10,11,1,1,79.0,1,B
20,Male,6.1,81.1,76,Master,1,1,8.1,Medium,7,14,1,1,98.4,1,A
16,Female,3.6,96.9,93,Master,1,0,6.1,Low,2,6,1,0,86.4,1,A
19,Female,2.2,48.6,99,Master,0,0,5.3,High,18,12,1,1,63.8,1,C
18,Male,9.9,62.9,72,High School,1,0,6.2,High,13,8,0,0,81.8,1,A
16,Female,4.5,73.3,86,High School,1,0,5.6,Low,8,9,1,0,86.3,1,A
20,Male,6.9,44.6,45,Bachelor,1,0,4.5,Low,2,8,0,1,52.8,1,C
21,Female,1.4,40.3,83,Bachelor,0,0,9.0,Medium,3,8,1,0,54.7,1,C
18,Male,4.9,80.2,79,None,1,1,9.1,Low,3,5,0,1,67.3,1,B
21,Female,0.3,78.5,84,None,1,1,5.3,High,10,7,0,0,59.3,1,C
17,Male,5.1,64.6,58,Bachelor,1,0,4.4,Medium,18,8,1,1,76.3,1,B
17,Male,9.6,69.4,71,High School,1,0,8.4,High,15,11,1,0,98.4,1,A
15,Female,3.8,64.9,66,Bachelor,1,1,5.3,High,16,13,1,0,79.8,1,B
21,Male,0.4,41.4,40,None,0,0,6.4,High,9,6,1,0,23.0,0,F
20,Female,0.3,60.1,82,High School,1,1,4.4,Low,16,3,0,0,80.6,1,A
19,Female,3.9,50.6,91,High School,1,1,5.4,Low,15,13,1,0,91.8,1,A
18,Male,1.6,45.9,72,None,0,0,8.8,High,19,3,0,0,50.4,1,C
16,Female,0.2,97.4,79,Bachelor,1,0,8.8,Low,5,5,0,1,73.0,1,B
20,Female,7.6,76.0,71,Master,0,0,5.2,High,6,13,0,1,65.1,1,B
20,Female,4.6,83.7,44,Bachelor,1,0,6.0,Low,13,10,1,1,74.9,1,B
17,Female,2.9,58.9,56,Bachelor,1,0,4.8,Low,10,3,1,1,59.4,1,C
21,Female,9.0,63.6,47,None,0,1,4.4,Low,11,10,1,1,79.6,1,B
15,Male,1.2,54.2,96,High School,1,0,10.0,Medium,13,6,0,0,75.9,1,B
15,Female,9.6,45.8,81,None,1,1,7.9,Low,4,7,0,1,89.1,1,A
18,Female,3.1,50.7,73,Bachelor,1,1,7.3,Medium,4,7,0,1,47.8,1,D
17,Female,8.9,87.9,48,Master,0,0,8.6,Medium,19,13,0,0,100.0,1,A
20,Female,6.0,80.7,95,Master,1,0,9.0,Medium,14,7,0,0,100.0,1,A
19,Female,8.3,72.8,62,Master,1,0,8.8,High,0,1,1,0,61.8,1,C
17,Male,9.8,68.5,74,None,1,0,4.1,Low,8,13,1,1,91.7,1,A
18,Female,2.9,95.3,89,High School,1,1,5.1,High,2,9,0,0,73.9,1,B
18,Male,9.6,44.4,46,None,1,0,7.9,Medium,3,1,0,1,53.3,1,C
17,Male,3.9,56.8,54,Master,0,1,6.3,Low,15,1,1,0,76.1,1,B
18,Male,3.9,61.0,92,Bachelor,1,0,9.9,High,6,1,1,0,70.6,1,B
17,Male,3.4,86.9,93,High School,0,0,8.0,Medium,13,3,1,1,72.1,1,B
16,Female,5.4,99.6,59,None,1,1,9.7,High,15,4,0,0,93.8,1,A
17,Male,1.5,54.4,89,None,1,1,5.2,High,17,3,0,0,62.8,1,C
21,Male,5.5,92.5,64,High School,1,0,9.2,Low,15,14,1,0,100.0,1,A
17,Female,5.4,89.8,42,High School,0,0,5.9,Low,15,4,0,1,63.9,1,C
